sentence_id	token_id	token	surprisal
1	1	The	0.000000
1	2	kindergartners	22.815737
1	3	liked	16.424854
1	4	the	3.193195
1	5	little	9.646972
1	6	girl	7.252762
1	7	brought	12.001545
1	8	a	4.667777
1	9	toy	12.811454
1	10	by	6.432989
1	11	her	5.470970
1	12	parents	6.740213
1	13	on	7.053238
1	14	the	1.866980
1	15	first	8.149528
1	16	day	3.577701
1	17	of	2.531781
1	18	UNK-INITC	10.475517
1	19	.	1.921985
1	20	<eos>	0.069334
2	1	The	0.000000
2	2	kindergartners	22.815737
2	3	liked	16.424854
2	4	the	3.193195
2	5	little	9.646972
2	6	girl	7.252762
2	7	chosen	14.519357
2	8	a	5.763867
2	9	toy	12.941315
2	10	by	6.888578
2	11	her	5.393154
2	12	parents	6.533913
2	13	on	7.282280
2	14	the	1.787690
2	15	first	8.111357
2	16	day	3.605098
2	17	of	2.430823
2	18	UNK-INITC	10.533709
2	19	.	1.868178
2	20	<eos>	0.061962
3	1	The	0.000000
3	2	kindergartners	22.815737
3	3	liked	16.424854
3	4	the	3.193195
3	5	little	9.646972
3	6	girl	7.252762
3	7	who	3.493870
3	8	was	3.616533
3	9	brought	9.012569
3	10	a	7.513632
3	11	toy	13.383727
3	12	by	5.775281
3	13	her	5.025107
3	14	parents	6.818367
3	15	j	25.918633
3	16	on	5.633299
3	17	the	1.938671
3	18	first	8.345151
3	19	day	3.734412
3	20	of	2.709853
3	21	UNK-INITC	10.473637
3	22	.	1.879110
3	23	<eos>	0.068799
4	1	The	0.000000
4	2	kindergartners	22.815737
4	3	liked	16.424854
4	4	the	3.193195
4	5	little	9.646972
4	6	girl	7.252762
4	7	who	3.493870
4	8	was	3.616533
4	9	chosen	9.970284
4	10	a	6.551445
4	11	toy	12.856644
4	12	by	6.725217
4	13	her	5.192130
4	14	parents	6.750453
4	15	j	26.174007
4	16	on	5.706102
4	17	the	1.874823
4	18	first	8.280891
4	19	day	3.669193
4	20	of	2.656039
4	21	UNK-INITC	10.529888
4	22	.	1.816652
4	23	<eos>	0.059545
5	1	We	0.000000
5	2	saw	8.504072
5	3	a	3.340366
5	4	movie	11.553429
5	5	about	6.870651
5	6	an	5.976962
5	7	artist	9.687481
5	8	painted	13.480612
5	9	a	3.377164
5	10	picture	8.663021
5	11	by	6.566662
5	12	her	5.269213
5	13	father	3.885969
5	14	while	9.478419
5	15	he	2.985753
5	16	was	2.830196
5	17	on	7.398994
5	18	his	3.960287
5	19	deathbed	11.077456
5	20	.	1.005855
5	21	<eos>	0.064961
6	1	We	0.000000
6	2	saw	8.504072
6	3	a	3.340366
6	4	movie	11.553429
6	5	about	6.870651
6	6	an	5.976962
6	7	artist	9.687481
6	8	drawn	14.954178
6	9	a	5.532748
6	10	picture	8.292836
6	11	by	5.863621
6	12	her	5.589303
6	13	father	3.925374
6	14	while	9.293317
6	15	he	2.996029
6	16	was	2.849313
6	17	on	7.350434
6	18	his	3.989224
6	19	deathbed	11.060388
6	20	.	1.013222
6	21	<eos>	0.080720
7	1	We	0.000000
7	2	saw	8.504072
7	3	a	3.340366
7	4	movie	11.553429
7	5	about	6.870651
7	6	an	5.976962
7	7	artist	9.687481
7	8	who	3.430573
7	9	was	3.627419
7	10	painted	12.187845
7	11	a	5.125544
7	12	picture	10.098133
7	13	by	6.405279
7	14	her	5.026062
7	15	father	3.754023
7	16	while	9.291191
7	17	he	2.929178
7	18	was	2.805302
7	19	on	7.358554
7	20	his	3.953231
7	21	deathbed	11.093163
7	22	.	0.983490
7	23	<eos>	0.081818
8	1	We	0.000000
8	2	saw	8.504072
8	3	a	3.340366
8	4	movie	11.553429
8	5	about	6.870651
8	6	an	5.976962
8	7	artist	9.687481
8	8	who	3.430573
8	9	was	3.627419
8	10	drawn	10.369402
8	11	a	7.195356
8	12	picture	9.237381
8	13	by	6.260989
8	14	her	5.301862
8	15	father	3.754988
8	16	while	9.118453
8	17	he	2.882592
8	18	was	2.870094
8	19	on	7.355887
8	20	his	3.996680
8	21	deathbed	11.153792
8	22	.	0.985973
8	23	<eos>	0.106692
9	1	The	0.000000
9	2	health	12.046371
9	3	officials	10.201102
9	4	pounced	18.040977
9	5	on	2.334294
9	6	a	3.417060
9	7	restaurant	14.647947
9	8	sent	12.097633
9	9	a	4.933279
9	10	shipment	13.355360
9	11	of	1.050868
9	12	salmon	11.566400
9	13	by	7.089445
9	14	a	3.198054
9	15	company	7.054884
9	16	that	2.815261
9	17	had	3.471439
9	18	failed	8.411450
9	19	to	0.563619
9	20	comply	9.578298
9	21	with	0.201701
9	22	refrigeration	21.991902
9	23	laws	9.033277
9	24	.	1.075823
9	25	<eos>	0.002714
10	1	The	0.000000
10	2	health	12.046371
10	3	officials	10.201102
10	4	pounced	18.040977
10	5	on	2.334294
10	6	a	3.417060
10	7	restaurant	14.647947
10	8	flown	17.077463
10	9	a	4.220978
10	10	shipment	13.626209
10	11	of	0.981061
10	12	salmon	11.841158
10	13	by	7.358204
10	14	a	3.452697
10	15	company	6.908361
10	16	that	2.621416
10	17	had	3.869159
10	18	failed	8.475690
10	19	to	0.561872
10	20	comply	9.487783
10	21	with	0.212026
10	22	refrigeration	22.138430
10	23	laws	8.860927
10	24	.	1.048497
10	25	<eos>	0.002630
11	1	The	0.000000
11	2	health	12.046371
11	3	officials	10.201102
11	4	pounced	18.040977
11	5	on	2.334294
11	6	a	3.417060
11	7	restaurant	14.647947
11	8	which	10.565525
11	9	was	3.910833
11	10	sent	8.008118
11	11	a	7.899815
11	12	shipment	13.622739
11	13	of	0.947511
11	14	salmon	11.689271
11	15	by	7.069903
11	16	a	3.244663
11	17	company	6.704442
11	18	that	2.510507
11	19	had	3.283385
11	20	failed	8.369951
11	21	to	0.528413
11	22	comply	9.328543
11	23	with	0.181805
11	24	refrigeration	21.933080
11	25	laws	9.038096
11	26	.	0.999850
