sentence_id	token_id	token	surprisal
1	1	The	19.0874
1	2	woman	16.4532
1	3	brought	18.0161
1	4	the	8.96701
1	5	sandwich	14.2882
1	6	from	11.2096
1	7	the	6.53241
1	8	kitchen	11.9969
1	9	fell	19.6239
1	10	in	9.53449
1	11	the	6.20909
1	12	dining	12.4469
1	13	room	2.50552
2	1	The	19.0874
2	2	woman	16.4532
2	3	who	14.9237
2	4	was	12.1241
2	5	brought	17.2055
2	6	the	8.44074
2	7	sandwich	14.5655
2	8	from	10.4793
2	9	the	6.47533
2	10	kitchen	11.8031
2	11	fell	19.5447
2	12	in	9.49036
2	13	the	6.19451
2	14	dining	12.3259
2	15	room	2.45529
3	1	The	19.0874
3	2	woman	16.4532
3	3	given	17.2937
3	4	the	8.74254
3	5	sandwich	14.703
3	6	from	11.2605
3	7	the	6.76392
3	8	kitchen	12.2096
3	9	fell	19.4481
3	10	in	9.37315
3	11	the	6.28342
3	12	dining	12.5025
3	13	room	2.56313
4	1	The	19.0874
4	2	woman	16.4532
4	3	who	14.9237
4	4	was	12.1241
4	5	given	16.2348
4	6	the	8.00654
4	7	sandwich	14.6828
4	8	from	10.8394
4	9	the	6.65835
4	10	kitchen	11.9066
4	11	fell	19.4103
4	12	in	9.43592
4	13	the	6.16466
4	14	dining	12.2886
4	15	room	2.41416
5	1	The	19.0874
5	2	convict	18.0926
5	3	walked	19.1891
5	4	into	12.9258
5	5	the	7.36578
5	6	dark	11.7833
5	7	cell	15.9457
5	8	tried	22.0149
5	9	to	9.83505
5	10	escape	12.5865
5	11	but	13.9909
5	12	failed	15.87
6	1	The	19.0874
6	2	convict	18.0926
6	3	who	14.537
6	4	was	11.4274
6	5	walked	18.2469
6	6	into	10.2282
6	7	the	6.87316
6	8	dark	10.8183
6	9	cell	16.2041
6	10	tried	21.8111
6	11	to	9.58195
6	12	escape	12.9673
6	13	but	13.7298
6	14	failed	15.5003
7	1	The	19.0874
7	2	convict	18.0926
7	3	taken	18.7838
7	4	into	13.1215
7	5	the	9.57678
7	6	dark	13.1799
7	7	cell	16.2457
7	8	tried	21.3899
7	9	to	9.92762
7	10	escape	12.6802
7	11	but	13.9844
7	12	failed	15.6495
8	1	The	19.0874
8	2	convict	18.0926
8	3	who	14.537
8	4	was	11.4274
8	5	taken	16.5036
8	6	into	10.7633
8	7	the	9.82339
8	8	dark	12.373
8	9	cell	16.3154
8	10	tried	21.4227
8	11	to	9.49903
8	12	escape	13.0703
8	13	but	13.5764
8	14	failed	15.4126
9	1	The	19.0874
9	2	prisoners	19.0157
9	3	hit	19.3744
9	4	for	13.9748
9	5	hours	20.6663
9	6	and	6.99571
9	7	hours	13.1427
9	8	confessed	21.7917
9	9	to	8.67818
9	10	crimes	17.6524
9	11	they	13.4928
9	12	never	17.1559
9	13	committed	19.2177
10	1	The	19.0874
10	2	prisoners	19.0157
10	3	who	17.6586
10	4	were	11.6576
10	5	hit	16.4711
10	6	for	12.1356
10	7	hours	21.0187
10	8	and	7.182
10	9	hours	13.0812
10	10	confessed	21.1706
10	11	to	8.45105
10	12	crimes	17.4146
10	13	they	13.4012
10	14	never	16.7966
10	15	committed	18.6832
11	1	The	19.0874
11	2	prisoners	19.0157
11	3	beaten	21.1286
11	4	for	14.5989
11	5	hours	20.839
11	6	and	6.91298
11	7	hours	12.9057
11	8	confessed	21.9985
11	9	to	8.57341
11	10	crimes	17.7686
11	11	they	13.5918
11	12	never	17.6023
11	13	committed	19.4666
12	1	The	19.0874
12	2	prisoners	19.0157
12	3	who	17.6586
12	4	were	11.6576
12	5	beaten	16.6275
12	6	for	14.6659
12	7	hours	19.8393
12	8	and	7.37861
12	9	hours	12.2622
12	10	confessed	21.9071
12	11	to	8.2955
12	12	crimes	17.1607
12	13	they	13.9201
12	14	never	17.2274
12	15	committed	18.9189
13	1	The	19.0874
13	2	business	13.93
13	3	expanded	17.2185
13	4	into	16.0401
