sentence_id	token_id	token	surprisal
1	1	The	1.81652
1	2	woman	8.40047
1	3	brought	7.71823
1	4	the	1.6614
1	5	sandwich	11.7099
1	6	from	3.38721
1	7	the	1.55762
1	8	kitchen	8.50432
1	9	fell	14.4412
1	10	in	2.93077
1	11	the	2.32913
1	12	dining	15.5812
1	13	room	4.39654
2	1	The	1.72413
2	2	woman	8.41507
2	3	who	13.7946
2	4	was	3.77331
2	5	brought	6.0201
2	6	the	4.53899
2	7	sandwich	12.3486
2	8	from	4.396
2	9	the	1.52006
2	10	kitchen	8.82838
2	11	fell	13.4204
2	12	in	3.37089
2	13	the	2.39253
2	14	dining	15.8748
2	15	room	3.85023
3	1	The	1.64992
3	2	woman	8.353
3	3	given	11.1885
3	4	the	1.61808
3	5	sandwich	11.7837
3	6	from	4.6421
3	7	the	1.88928
3	8	kitchen	8.27342
3	9	fell	15.4886
3	10	in	3.26675
3	11	the	2.17854
3	12	dining	15.2661
3	13	room	4.29609
4	1	The	1.97069
4	2	woman	8.32786
4	3	who	13.1081
4	4	was	3.54262
4	5	given	5.37363
4	6	the	1.88543
4	7	sandwich	12.3726
4	8	from	4.17978
4	9	the	1.70798
4	10	kitchen	8.66657
4	11	fell	14.6989
4	12	in	3.12924
4	13	the	2.2412
4	14	dining	14.4102
4	15	room	4.82106
5	1	The	1.61123
5	2	convict	15.2845
5	3	walked	20.6215
5	4	into	7.51359
5	5	the	1.36576
5	6	dark	7.776
5	7	cell	10.9328
5	8	tried	10.7196
5	9	to	0.468064
5	10	escape	6.76009
5	11	but	10.0243
5	12	failed	11.16
6	1	The	1.77666
6	2	convict	15.472
6	3	who	12.2116
6	4	was	3.14418
6	5	walked	12.3126
6	6	into	2.07495
6	7	the	1.51368
6	8	dark	6.28649
6	9	cell	10.447
6	10	tried	14.8813
6	11	to	1.3247
6	12	escape	6.64125
6	13	but	10.1051
6	14	failed	9.94085
7	1	The	1.88492
7	2	convict	15.4065
7	3	taken	16.626
